# 실전 측정 대상. 지역·언어·유형을 고루 섞는다.
# 형식: 이름|URL   (이름이 testdata/live/<이름>.html 이 된다)
kr_kakao|https://www.kakaocorp.com/
kr_coupang|https://www.coupang.com/
kr_gov24|https://www.gov.kr/
kr_nts|https://www.nts.go.kr/
kr_snu|https://www.snu.ac.kr/
kr_kaist|https://www.kaist.ac.kr/kr/
kr_hani|https://www.hani.co.kr/
kr_khan|https://www.khan.co.kr/
kr_chosun|https://www.chosun.com/
kr_toss|https://toss.im/
kr_kbank|https://www.kbanknow.com/
kr_melon|https://www.melon.com/
jp_yahoo|https://www.yahoo.co.jp/
jp_rakuten|https://www.rakuten.co.jp/
jp_nikkei|https://www.nikkei.com/
jp_asahi|https://www.asahi.com/
jp_livedoor|https://news.livedoor.com/
cn_baidu|https://www.baidu.com/
cn_sina|https://www.sina.com.cn/
cn_qq|https://www.qq.com/
ru_yandex|https://ya.ru/
ru_lenta|https://lenta.ru/
ru_vk|https://vk.com/
de_spiegel|https://www.spiegel.de/
de_heise|https://www.heise.de/
fr_lemonde|https://www.lemonde.fr/
fr_leparisien|https://www.leparisien.fr/
es_elpais|https://elpais.com/
it_corriere|https://www.corriere.it/
uk_guardian|https://www.theguardian.com/international
us_nytimes|https://www.nytimes.com/
us_cnn|https://edition.cnn.com/
ar_aljazeera|https://www.aljazeera.net/
in_timesofindia|https://timesofindia.indiatimes.com/
in_ndtv|https://www.ndtv.com/
tech_golang|https://go.dev/doc/
tech_rust|https://www.rust-lang.org/
tech_nodejs|https://nodejs.org/en
tech_npm|https://www.npmjs.com/
tech_docker|https://www.docker.com/
tech_w3|https://www.w3.org/
tech_gitlab|https://about.gitlab.com/
edu_mit|https://www.mit.edu/
edu_stanford|https://www.stanford.edu/
org_wikipedia_ar|https://ar.wikipedia.org/wiki/HTML
org_wikipedia_ja|https://ja.wikipedia.org/wiki/HTML
org_wikipedia_ru|https://ru.wikipedia.org/wiki/HTML
org_wikipedia_hi|https://hi.wikipedia.org/wiki/HTML
org_archive|https://archive.org/web/
org_unesco|https://www.unesco.org/en
